# CONVERGE Release Build 2.4.21/  Sep 13, 2018       Run Date:Sat Apr  1 22:40:33 2023
# column             1                     2                     3                     4                     5                     6                     7                     8                     9                    10                    11                    12                    13                    14
#                 Time          Cycle_Number             Flow_Rate              Tot_Mass              Velocity              Tot_Pres           Static_Pres              Avg_Temp             Flow_Rate              Tot_Mass              Velocity              Tot_Pres           Static_Pres              Avg_Temp
#            (seconds)              (number)                (kg/s)                  (kg)                 (m/s)                  (Pa)                  (Pa)                   (K)                (kg/s)                  (kg)                 (m/s)                  (Pa)                  (Pa)                   (K)
#               (none)                (none)        Regions_1_to_2        Regions_1_to_2        Regions_1_to_2        Regions_1_to_2        Regions_1_to_2        Regions_1_to_2        Regions_1_to_3        Regions_1_to_3        Regions_1_to_3        Regions_1_to_3        Regions_1_to_3        Regions_1_to_3
         2.8282491e-02                  3989         4.1389276e-02         3.5046830e-04         2.6595001e+01         2.5835341e+05         2.5607761e+05         8.7703996e+02        -1.0627920e-01        -2.0634591e-04        -1.3275768e+01         2.6033656e+05         2.5941218e+05         3.2662636e+02
         2.8360970e-02                  4014         4.1657913e-02         3.5372735e-04         2.6389977e+01         2.5829952e+05         2.5600113e+05         8.5807552e+02        -1.0406394e-01        -2.1458789e-04        -1.3269961e+01         2.6024415e+05         2.5936500e+05         3.2550996e+02
         2.8441913e-02                  4050         4.1811632e-02         3.5710625e-04         2.5901940e+01         2.5819937e+05         2.5590250e+05         8.4309710e+02        -1.0241958e-01        -2.2294343e-04        -1.2995771e+01         2.6012627e+05         2.5929844e+05         3.2516801e+02
         2.8520969e-02                  4082         4.1729736e-02         3.6040979e-04         2.5398323e+01         2.5805786e+05         2.5577269e+05         8.2988950e+02        -1.0148012e-01        -2.3099652e-04        -1.2835539e+01         2.6015415e+05         2.5935539e+05         3.2469820e+02
         2.8602647e-02                  4107         4.1817687e-02         3.6382318e-04         2.5242859e+01         2.5807356e+05         2.5575346e+05         8.1757912e+02        -1.0042873e-01        -2.3923725e-04        -1.2746854e+01         2.6008417e+05         2.5931066e+05         3.2412765e+02
         2.8680264e-02                  4139         4.1691680e-02         3.6706273e-04         2.4703682e+01         2.5816155e+05         2.5585324e+05         8.0618348e+02        -9.9740635e-02        -2.4699993e-04        -1.2658989e+01         2.6008064e+05         2.5932592e+05         3.2381337e+02
         2.8763132e-02                  4172         4.2004088e-02         3.7052852e-04         2.4584938e+01         2.5823967e+05         2.5589710e+05         7.9269282e+02        -9.8852676e-02        -2.5523880e-04        -1.2422637e+01         2.6010239e+05         2.5936882e+05         3.2360336e+02
         2.8841266e-02                  4195         4.2298155e-02         3.7382656e-04         2.4393002e+01         2.5846242e+05         2.5609266e+05         7.7761612e+02        -9.8165443e-02        -2.6295361e-04        -1.2224974e+01         2.6015311e+05         2.5942794e+05         3.2351294e+02
         2.8921002e-02                  4220         4.2880324e-02         3.7722054e-04         2.4230714e+01         2.5853702e+05         2.5612406e+05         7.5908973e+02        -9.6822685e-02        -2.7072425e-04        -1.2072817e+01         2.6022215e+05         2.5951154e+05         3.2347741e+02
         2.9002524e-02                  4253         4.3861387e-02         3.8075371e-04         2.4193204e+01         2.5877059e+05         2.5629652e+05         7.3701229e+02        -9.5049387e-02        -2.7854032e-04        -1.1872759e+01         2.6020745e+05         2.5951775e+05         3.2341465e+02
         2.9082989e-02                  4283         4.4737707e-02         3.8431432e-04         2.3999360e+01         2.5888253e+05         2.5635184e+05         7.1249330e+02        -9.3304297e-02        -2.8611687e-04        -1.1658704e+01         2.6022383e+05         2.5955242e+05         3.2333745e+02
         2.9163765e-02                  4306         4.6044304e-02         3.8798169e-04         2.3906337e+01         2.5891882e+05         2.5631260e+05         6.8372764e+02        -9.0968150e-02        -2.9354771e-04        -1.1367900e+01         2.6032983e+05         2.5968313e+05         3.2331854e+02
         2.9241190e-02                  4329         4.7638576e-02         3.9160797e-04         2.3702264e+01         2.5899653e+05         2.5631955e+05         6.5185999e+02        -8.8771083e-02        -3.0049507e-04        -1.1114105e+01         2.6027492e+05         2.5965150e+05         3.2325679e+02
         2.9322346e-02                  4352         4.9648962e-02         3.9556131e-04         2.3567284e+01         2.5913660e+05         2.5638443e+05         6.1577229e+02        -8.6793339e-02        -3.0761698e-04        -1.0867379e+01         2.6021372e+05         2.5961280e+05         3.2319374e+02
         2.9402378e-02                  4375         5.1459977e-02         3.9961346e-04         2.3342316e+01         2.5908487e+05         2.5627596e+05         5.8277320e+02        -8.5022852e-02        -3.1448842e-04        -1.0656998e+01         2.6027361e+05         2.5969209e+05         3.2318529e+02
         2.9483153e-02                  4400         5.2812294e-02         4.0383030e-04         2.3062028e+01         2.5909210e+05         2.5625500e+05         5.5665970e+02        -8.2446610e-02        -3.2124663e-04        -1.0332839e+01         2.6036434e+05         2.5980921e+05         3.2319512e+02
         2.9563758e-02                  4422         5.3373376e-02         4.0811490e-04         2.2715400e+01         2.5920336e+05         2.5637519e+05         5.3825610e+02        -7.8970422e-02        -3.2775663e-04        -9.8939216e+00         2.6052814e+05         2.6000736e+05         3.2324757e+02
